lattice_d_cell,lattice_d_rod,lattice_number_cells_x,scaling_factor_YZ,young_modulus,density
2.375,0.2,2.0,6.0,710.1781701920956,7.830639999995333e-06
2.375,0.65,2.0,6.0,13929.717913357674,7.830639999978824e-06
2.375,0.7,2.0,6.0,17648.99177222656,7.830639999992433e-06
2.375,0.75,2.0,6.0,21760.229391235625,7.830640000021362e-06
2.375,0.8,2.0,6.0,26716.36330186177,7.830640000014884e-06
2.375,0.85,2.0,6.0,32613.54618155088,7.830639999995225e-06
2.375,0.9,2.0,6.0,39352.68622676409,7.83063999999113e-06
2.375,0.95,2.0,6.0,47201.96726233411,7.830640000006854e-06
2.375,1.0,2.0,6.0,56072.256652779935,7.830639999972589e-06
2.375,1.05,2.0,6.0,65963.01543871342,7.830640000011932e-06
2.375,1.1,2.0,6.0,76665.70308454461,7.830639999999685e-06
2.375,0.25,2.0,6.0,1231.5647954924564,7.830640000001352e-06
2.375,1.15,2.0,6.0,88587.28827542397,7.830640000025357e-06
2.375,0.3,2.0,6.0,1924.7163871471253,7.830639999969356e-06
2.375,0.35,2.0,6.0,2745.516633826073,7.830640000021384e-06
2.375,0.4,2.0,6.0,3754.0587330577146,7.83063999997732e-06
2.375,0.45,2.0,6.0,5015.000599802771,7.830639999985386e-06
2.375,0.5,2.0,6.0,6626.739559270842,7.830640000024857e-06
2.375,0.55,2.0,6.0,8596.944871737018,7.830640000010808e-06
2.375,0.6,2.0,6.0,11006.397186668793,7.830639999951816e-06
