ID,lattice_d_cell,lattice_d_rod,lattice_number_cells_x,scaling_factor_YZ,effective_stiffness
3,2.375,0.7,2.0,6.0,17648.99177222656
40,2.375,0.6,2.0,6.0,11006.397186668793
32,2.375,0.25,2.0,6.0,1231.5647954924564
20,2.375,0.6,2.0,6.0,11006.397186668793
27,2.375,0.9,2.0,6.0,39352.68622676409
10,2.375,1.05,2.0,6.0,65963.01543871342
12,2.375,0.25,2.0,6.0,1231.5647954924564
4,2.375,0.75,2.0,6.0,21760.229391235625
1,2.375,0.2,2.0,6.0,710.1781701920956
6,2.375,0.85,2.0,6.0,32613.54618155088
22,2.375,0.65,2.0,6.0,13929.717913357674
19,2.375,0.55,2.0,6.0,8596.944871737018
13,2.375,1.15,2.0,6.0,88587.28827542397
9,2.375,1.0,2.0,6.0,56072.256652779935
39,2.375,0.55,2.0,6.0,8596.944871737018
2,2.375,0.65,2.0,6.0,13929.717913357674
7,2.375,0.9,2.0,6.0,39352.68622676409
33,2.375,1.15,2.0,6.0,88587.28827542397
31,2.375,1.1,2.0,6.0,76665.70308454461
36,2.375,0.4,2.0,6.0,3754.0587330577146
21,2.375,0.2,2.0,6.0,710.1781701920956
26,2.375,0.85,2.0,6.0,32613.54618155088
14,2.375,0.3,2.0,6.0,1924.7163871471253
23,2.375,0.7,2.0,6.0,17648.99177222656
17,2.375,0.45,2.0,6.0,5015.000599802771
18,2.375,0.5,2.0,6.0,6626.739559270842
30,2.375,1.05,2.0,6.0,65963.01543871342
37,2.375,0.45,2.0,6.0,5015.000599802771
