ID,lattice_d_cell,lattice_d_rod,lattice_number_cells_x,scaling_factor_YZ,effective_stiffness
1,2.375,1.15,2.0,6.0,88587.28827542397
2,2.375,0.95,2.0,3.0,46473.70423557312
3,2.75,1.05,2.0,3.0,37290.25313356544
4,2.375,0.5,2.0,6.0,6626.739559270842
5,2.75,1.2,2.0,3.0,61116.00577818522
6,2.375,0.45,2.0,6.0,5015.000599802771
7,2.75,1.1,2.0,3.0,44430.40162068644
8,2.375,0.95,2.0,6.0,47201.96726233411
9,2.375,0.65,2.0,3.0,10834.207716747962
10,2.375,0.7,2.0,6.0,17648.99177222656
11,2.375,0.85,2.0,6.0,32613.54618155088
12,2.375,0.2,2.0,6.0,710.1781701920956
13,2.375,0.45,2.0,3.0,2906.249934193062
14,2.375,0.55,2.0,6.0,8596.944871737018
15,2.375,0.3,2.0,6.0,1924.7163871471253
16,2.375,0.4,2.0,6.0,3754.0587330577146
17,2.375,1.1,2.0,6.0,76665.70308454461
18,2.375,0.7,2.0,3.0,14513.532481734535
19,2.375,0.9,2.0,6.0,39352.68622676409
20,2.375,1.05,2.0,6.0,65963.01543871342
21,2.375,0.6,2.0,6.0,11006.397186668792
22,2.75,0.7,2.0,3.0,7807.91320861519
23,2.375,0.5,2.0,3.0,4205.324504093866
24,2.375,0.25,2.0,6.0,1231.5647954924564
25,2.75,0.2,2.0,3.0,173.45279097698784
26,2.75,0.95,2.0,3.0,25267.18658819873
27,2.375,1.1,2.0,3.0,78692.63476027465
28,2.375,0.3,2.0,3.0,845.0771523106375
29,2.375,1.05,2.0,3.0,67017.23228949652
30,2.75,0.25,2.0,3.0,319.2819742822223
31,2.375,0.55,2.0,3.0,5880.5554277387055
32,2.375,1.0,2.0,3.0,56130.12367757268
33,2.375,0.2,2.0,3.0,257.08508572344937
34,2.75,0.75,2.0,3.0,10129.70282221998
35,2.75,0.6,2.0,3.0,4471.093159879922
36,2.375,0.8,2.0,6.0,26716.36330186177
37,2.375,0.85,2.0,3.0,30556.621402587003
38,2.375,0.35,2.0,6.0,2745.516633826073
39,2.75,0.8,2.0,3.0,12926.246944330318
40,2.375,0.8,2.0,3.0,24121.062469763478
41,2.375,1.15,2.0,3.0,91223.66814603348
42,2.75,1.15,2.0,3.0,52264.21516253673
43,2.375,1.2,2.0,3.0,104622.66451454489
44,2.75,0.4,2.0,3.0,1196.018354394117
45,2.375,0.4,2.0,3.0,1986.0579054026744
46,2.375,1.0,2.0,6.0,56072.256652779935
47,2.375,0.3,3.0,4.0,985.478403028424
48,2.375,0.9,2.0,3.0,37884.42950439451
49,2.375,0.75,2.0,3.0,18835.467943119304
50,2.375,0.6,2.0,3.0,8056.02649859074
